Ano Lançamento	PI	Ação Governo	Categoria Gasto	Elemento Despesa	Subitem	Item Informação	Movim. Líquido - R$ (Item Informação)
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICO DE INCINERACAO,DESTRUICAO E DEMOLICAO	29	104.000,00
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE AGUA E ESGOTO	29	1.000.000,00
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE ANALISES E PESQUISAS CIENTIFICAS	29	38.212,20
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE CONTROLE AMBIENTAL	29	25.479,75
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE ENERGIA ELETRICA	29	1.425.000,00
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE TELECOMUNICACOES	29	35.180,55
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ	LOCACAO DE EQUIPAMENTOS DE TIC - IMPRESSORAS	29	4.785,90
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS	CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA	29	11.073,75
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS	MULTAS INDEDUTIVEIS	29	369,58
2020	NM20AP00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE AUDIO, VIDEO E FOTO	29	4.193,00
2020	NM20GA00000	8585	OUTRAS DESPESAS CORRENTES	SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ	LOCACAO DE SOFTWARES	29	45.460,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	GENEROS DE ALIMENTACAO	29	32.400,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE COPA E COZINHA	29	3.832,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE EXPEDIENTE	29	23.828,25
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE PROTECAO E SEGURANCA	29	1.325,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE TIC - MATERIAL DE CONSUMO	29	16.000,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL ELETRICO E ELETRONICO	29	1.256,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES	29	41.593,49
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUTENCAO DE BENS MOVEIS	29	17.543,20
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	FRETES E TRANSPORTES DE ENCOMENDAS	29	1.791,35
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS	29	3.330,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS	29	631,21
2020	NM20LG00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS	29	6.407,02
2020	NM20LS00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	2.470.458,92
2020	NM20LS00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL ODONTOLOGICO	29	6.883,50
2020	NM20UF00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE ACONDICIONAMENTO E EMBALAGEM	29	7.604,95
2020	NM20UF00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL FARMACOLOGICO	29	1.693.022,64
2020	NM20UL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	385,60
2020	NM20UL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL LABORATORIAL	29	1.255.915,59
2020	NO200000220	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	338.310,00
2020	NO200000420	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	108.809,20
2020	NO200000520	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	33.178,40
2020	NO200000720	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	95.760,00
2020	NO20LS00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE PROTECAO E SEGURANCA	29	3.975,00
2020	NO20LS00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	616.618,00
2020	NO20LS00320	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	433.511,72
2020	NO20LS00620	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	114.550,00
2020	NO20LS00920	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL QUIMICO	29	317.680,56
2020	NO20LS01320	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	22.880,00
2020	NO20LS01520	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	31.042,12
2020	NO20SU00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES	29	62.097,58
2020	NO20SU00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUTENCAO DE BENS MOVEIS	29	42.161,99
2020	NO20SU00000	21C0	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS	29	12.350,00
2020	NR01AA00000	20RX	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	SERVICOS DE COPA E COZINHA	29	520.721,88
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE ACONDICIONAMENTO E EMBALAGEM	29	3.830,20
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE EXPEDIENTE	29	7.513,60
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO	29	1.996,80
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE PROTECAO E SEGURANCA	29	3.300,00
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL ELETRICO E ELETRONICO	29	2.464,75
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUTENCAO DE BENS MOVEIS	29	640,90
2020	NR01GL00000	20RX	INVESTIMENTO	EQUIPAMENTOS E MATERIAL PERMANENTE	APARELHOS E UTENSILIOS DOMESTICOS	29	50.000,00
2020	NR01LS00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE PROTECAO E SEGURANCA	29	4.218,00
2020	NR01LS00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	29	750.931,41
2020	NR01UF00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE ACONDICIONAMENTO E EMBALAGEM	29	7.829,99
2020	NR01UF00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL FARMACOLOGICO	29	673.594,49
2020	NR01UL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL LABORATORIAL	29	554.657,00
2020	NDR000DRS20	4086	OUTRAS DESPESAS CORRENTES	DIARIAS - PESSOAL CIVIL	DIARIAS NO PAIS	30	5.377,97
2020	NE20LS00000	219A	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL ODONTOLOGICO	30	14.412,56
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	GAS E OUTROS MATERIAIS ENGARRAFADOS	30	111.070,17
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL QUIMICO	30	126.573,63
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	PASSAGENS E DESPESAS COM LOCOMOCAO	TRANSPORTE DE SERVIDORES	30	157.361,44
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL	30	508.979,90
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	LIMPEZA E CONSERVACAO	30	1.763.284,82
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	MANUTENCAO E CONSERVACAO DE BENS IMOVEIS	30	596.514,48
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	MANUTENCAO E CONSERVACAO DE BENS MOVEIS	30	227.687,42
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	VIGILANCIA OSTENSIVA	30	465.998,02
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	FRETES E TRANSPORTES DE ENCOMENDAS	30	7.470,03
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	LIMPEZA E CONSERVACAO	30	4.413,65
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	LOCACAO BENS MOV. OUT.NATUREZAS E INTANGIVEIS	30	2.432,50
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	LOCACAO DE MAQUINAS E EQUIPAMENTOS	30	125.036,64
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS	30	810.000,69
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUTENCAO E CONSERV. DE BENS IMOVEIS	30	11.756,28
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUTENCAO E CONSERV. DE VEICULOS	30	19.524,00
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL	30	5.486,40
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERV.MEDICO-HOSPITAL.,ODONTOL.E LABORATORIAIS	30	200.193,61
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICO DE INCINERACAO,DESTRUICAO E DEMOLICAO	30	78.331,37
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE AGUA E ESGOTO	30	419.612,44
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE ANALISES E PESQUISAS CIENTIFICAS	30	15.707,88
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE CONTROLE AMBIENTAL	30	10.191,90
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE ENERGIA ELETRICA	30	737.283,01
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE TELECOMUNICACOES	30	26.597,54
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ	LOCACAO DE EQUIPAMENTOS DE TIC - IMPRESSORAS	30	1.914,36
2020	NM20AA00000	8585	OUTRAS DESPESAS CORRENTES	OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS	CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA	30	4.784,25
2020	NM20AP00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	SERVICOS DE AUDIO, VIDEO E FOTO	30	4.193,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	GENEROS DE ALIMENTACAO	30	19.584,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE EXPEDIENTE	30	1.180,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE TIC - MATERIAL DE CONSUMO	30	16.000,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL ELETRICO E ELETRONICO	30	276,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES	30	13.607,75
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUTENCAO DE BENS MOVEIS	30	16.320,00
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	FRETES E TRANSPORTES DE ENCOMENDAS	30	1.791,35
2020	NM20GL00000	8585	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS	30	631,21
2020	NM20LG00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS	30	3.113,03
2020	NM20LS00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	439.815,81
2020	NM20LS00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL ODONTOLOGICO	30	3.855,25
2020	NM20UF00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL FARMACOLOGICO	30	168.487,70
2020	NM20UL00000	8585	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL LABORATORIAL	30	208.876,56
2020	NO200000220	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	338.310,00
2020	NO200000420	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	108.809,20
2020	NO200000520	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	2.090,40
2020	NO200000720	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	95.760,00
2020	NO20LS00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE PROTECAO E SEGURANCA	30	3.975,00
2020	NO20LS00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	616.618,00
2020	NO20LS00320	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	428.278,72
2020	NO20LS00620	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	114.550,00
2020	NO20LS00920	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL QUIMICO	30	317.680,56
2020	NO20LS01320	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	22.880,00
2020	NO20LS01520	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL HOSPITALAR	30	31.042,12
2020	NO20SU00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES	30	62.097,58
2020	NO20SU00000	21C0	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL P/ MANUTENCAO DE BENS MOVEIS	30	16.979,20
2020	NO20SU00000	21C0	OUTRAS DESPESAS CORRENTES	OUTROS SERVICOS DE TERCEIROS PJ - OP.INT.ORC.	MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS	30	11.300,00
2020	NR01AA00000	20RX	OUTRAS DESPESAS CORRENTES	LOCACAO DE MAO-DE-OBRA	SERVICOS DE COPA E COZINHA	30	428.619,98
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE ACONDICIONAMENTO E EMBALAGEM	30	3.830,20
2020	NR01GL00000	20RX	OUTRAS DESPESAS CORRENTES	MATERIAL DE CONSUMO	MATERIAL DE EXPEDIENTE	30	7.513,60
